createdAt;createdBy;modifiedAt;modifiedBy;ID;user_ID;workDate;entryType_code;project_ID;activity_code;startTime;endTime;breakMin;durationHoursGross;durationHoursNet;overtimeHours;undertimeHours;source;note
2025-11-05T10:00:00.000Z;Max;2025-11-05T12:00:00.000Z;System;c3e5a7e9-1c3e-4f5a-9b7d-6c5b4a3f2e1d;max.mustermann@test.de;2025-11-05;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;CINT;10:00:00;17:30:00;0;6.50;6.50;0.00;0.70;WEB;"Hauptaktivität: Pipeline-Optimierung (4,5h). (Soll 7,20h; Gesamt 6,50h Netto; 0,70h Unter)"
2025-11-06T08:30:00.000Z;Erika;2025-11-06T13:00:00.000Z;System;e7f9a1c3-5b7d-4e9f-3a1b-7c5d9e1f3a5b;erika.musterfrau@test.de;2025-11-06;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;SCON;08:30:00;17:00:00;0;8.50;8.00;0.00;1.00;WEB;"Hauptaktivität: SAP-Customizing (4,0h). (Soll 9,00h; Gesamt 8,00h Netto; 1,00h Unter)"
2025-11-07T09:00:00.000Z;Max;2025-11-07T18:00:00.000Z;System;1a3c5e7f-9b1c-3d5e-7f9a-1b3c5d7e9f1a;max.mustermann@test.de;2025-11-07;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;INFR;09:00:00;18:45:00;30;9.75;9.20;2.00;0.00;WEB;"Hauptaktivität: Infrastruktur-Upgrade (8,2h). (Soll 7,20h; Gesamt 9,20h Netto; 2,00h Über)"
2025-11-10T08:00:00.000Z;Erika;2025-11-10T08:00:00.000Z;Erika;3c5e7f9a-1b3c-5d7e-9f1a-3b5c7d9e1f3a;erika.musterfrau@test.de;2025-11-10;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;SCON;08:00:00;14:00:00;30;6.00;5.50;0.00;3.50;MOBILE;"Hauptaktivität: SAP-Berechtigungskonzept geprüft. (Soll 9,00h; Gesamt 5,50h Netto; 3,50h Unter)"
2025-11-11T09:00:00.000Z;Max;2025-11-11T10:30:00.000Z;System;4d6f8a0c-2b4d-6e8f-0a2b-4c6d8e0f2a4b;max.mustermann@test.de;2025-11-11;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;BDEV;09:00:00;17:30:00;30;8.50;8.00;0.80;0.00;WEB;"Hauptaktivität: Datenbank-Schema-Anpassungen (6,5h). (Soll 7,20h; Gesamt 8,00h Netto; 0,80h Über)"
2025-11-12T08:00:00.000Z;Erika;2025-11-12T08:00:00.000Z;Erika;6f8a0c2b-4d6e-8f0a-2b4c-6d8e0f2a4b6c;erika.musterfrau@test.de;2025-11-12;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;ANAL;08:00:00;17:00:00;0;9.00;9.00;0.00;0.00;WEB;"Hauptaktivität: Lean-Prozessanalyse des Onboarding-Flows. (Soll 9,00h; Gesamt 9,00h Netto; 0,00h Über/Unter)"
2025-12-01T09:00:00.000Z;Max;2025-12-01T11:00:00.000Z;System;7a9b1c3d-5e7f-9a1b-3c5d-7e9f1a3b5c7d;max.mustermann@test.de;2025-12-01;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;REFI;09:00:00;15:00:00;30;6.00;5.50;0.00;1.70;WEB;"Hauptaktivität: Backlog Refinement (3,5h). (Soll 7,20h; Gesamt 5,50h Netto; 1,70h Unter)"
2025-12-02T08:00:00.000Z;Erika;2025-12-02T10:30:00.000Z;System;9b1c3d5e-7f9a-1b3c-5d7e-9f1a3b5c7d9e;erika.musterfrau@test.de;2025-12-02;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;SCON;08:00:00;18:00:00;30;10.00;9.50;0.50;0.00;WEB;"Hauptaktivität: SAP-Wartung (7,0h). (Soll 9,00h; Gesamt 9,50h Netto; 0,50h Über)"
2025-12-03T09:00:00.000Z;Max;2025-12-03T09:00:00.000Z;Max;1c3d5e7f-9a1b-3c5d-7e9f-1a3b5c7d9e1f;max.mustermann@test.de;2025-12-03;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;DOKU;09:00:00;16:12:00;0;7.20;7.20;0.00;0.00;WEB;"Hauptaktivität: Technische Dokumentation fertiggestellt. (Soll 7,20h; Gesamt 7,20h Netto; 0,00h Über/Unter)"
2025-12-04T08:00:00.000Z;Erika;2025-12-04T10:30:00.000Z;System;2b4d6e8f-0a2b-4c6d-8e0f-2a4b6c8d0e2f;erika.musterfrau@test.de;2025-12-04;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;SDEV;08:00:00;17:30:00;0;9.50;9.50;0.50;0.00;MOBILE;"Hauptaktivität: SAP-Backend-Service entwickelt (7,0h). (Soll 9,00h; Gesamt 9,50h Netto; 0,50h Über)"
2025-12-05T09:00:00.000Z;Max;2025-12-05T09:00:00.000Z;Max;4c6d8e0f-2a4b-6c8d-0e2f-4a6b8c0d2e4f;max.mustermann@test.de;2025-12-05;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;RETR;09:00:00;10:00:00;0;1.00;1.00;0.00;6.20;WEB;"Hauptaktivität: Team-Retrospektive (internes Projekt). (Soll 7,20h; Gesamt 1,00h Netto; 6,20h Unter)"
2025-10-09T08:00:00.000Z;Max;2025-10-09T08:00:00.000Z;Max;5f3a7e2d-4c1b-4e0f-9a8d-7c6b5a4f3e2e;max.mustermann@test.de;2025-10-09;V;;;08:00:00;15:12:00;0;8.00;7.20;0.00;0.00;WEB;"Urlaubstag"
2025-10-10T08:00:00.000Z;Erika;2025-10-10T08:00:00.000Z;Erika;5f3a7e2d-4c1b-4e0f-9a8d-7c6b5a4f3e2f;erika.musterfrau@test.de;2025-10-10;V;;;08:00:00;17:00:00;0;9.00;9.00;0.00;0.00;WEB;"Urlaubstag"
2025-10-11T08:00:00.000Z;Max;2025-10-11T08:00:00.000Z;Max;5f3a7e2d-4c1b-4e0f-9a8d-7c6b5a4f3e30;max.mustermann@test.de;2025-10-11;S;;;08:00:00;15:12:00;0;8.00;7.20;0.00;0.00;WEB;"Krankheitstag - Grippe"
2025-12-06T08:00:00.000Z;Erika;2025-12-06T08:00:00.000Z;Erika;5f3a7e2d-4c1b-4e0f-9a8d-7c6b5a4f3e31;erika.musterfrau@test.de;2025-12-06;S;;;08:00:00;17:00:00;0;9.00;9.00;0.00;0.00;WEB;"Krankheitstag - Migräne"
